id,id_tema,id_domisili,nama_tempat,alamat,kontak,keterangan,harga,rating,gambar
6,,,Taman Pinus Hutan Raya Juanda,"Kompleks Tahura, Jl. Ir. H.Djuanda",,,500000,50,
7,,,Ranca Upas,Jl. Raya Ciwidey,,,500000,50,
8,,,Hutan Cikole,Lembang,,,200000,50,
9,,,Braga,Jalan Braga,,,,50,
10,,,D Café,Jalan Dago Pakar Utara,,,500000,50,
11,,,L’societe Cafe and Bar,Jl. Ir. H.Djuanda No.106,,,700000,50,
12,,,Stone Garden,"Citatah, Padalarang",,,250000,50,
13,,,Little White,Jl. Lodaya No.11A,,,500000,50,
14,,,Secret Garden,Jl. Gunung Agung 12,,,200000,50,
15,,,Congo Café,Jl. Rancakendal,,,500000,50,
16,,,Tebing Keraton,"Lembang, Ciburial",,,250000,50,
17,,,Café Dpakar,Jalan Dago Pakar Utara,,,200000,40,
18,,,Deranch,Jl. Maribaya No.17,,,500000,40,
19,,,Dusun Bambu,"Jl. Kolonel Masturi, Situ Lembang",,,500000,30,
20,,,Floating Market,Jl. Grand Hotel No.33E,,,500000,30,
21,,,Sapu Lidi,Jalan Sersan Bajuri,,,500000,30,
22,,,The Parlor,Jl. Rancakendal,,,,30,
23,,,Victoria Gueshouse,Jl. Sukaresmi No.4-6,,,500000,30,
24,,,Treehouse Café,Jl. Hasanudin No.5,,,500000,20,
25,,,Maribaya,"Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",,,250000,20,
26,,,Coco Rico,Jl. Bukit Pakar Timur,,,500000,20,
27,,,Coloni Café,Jl. Sumatera No.31,,,500000,20,
28,,,Kalpa Tree Café,Jl. Kiputih No.37,,,700000,20,
29,,,Kawah Putih,"Ciwidey, Jawa Barat",,,500000,20,
30,,,Maja House,Jl. Terusan Sersan Bajuri No.72,,,500000,10,
31,,,Kebun The Walini,"Ciwidey, Jawa Barat",,,,10,
32,,,Imah Seniman,Jalan Kolonel Masturi No.8,,,500000,10,
33,,,Rocca Café,Jl. Progo No.16,,,500000,10,
34,,,Welfed,Jl. Sersan Bajuri,,,700000,10,
35,,,Lutung Kasarung,Lembang,,,1000000,10,
36,,,Paris Van Java,Jl. Sukajadi,,,,10,
37,,,Sindang Reret,Jl. Raya Cikole KM. 22,,,500000,10,
38,,,Warkop Modjok,Jl. Pinus Raya No.73B,,,500000,10,
39,,,Asia Afrika,Jalan Asia Afrika,,,,10,
40,,,Cups Coffe Shop,Jl. Trunojoyo No.25,,,500000,10,
41,,,Gedung Sate,Jl. Diponegoro No.22,,,,10,
42,,,Goldstar 360 Café,Jl. Dangdeur Indah No.2b,,,500000,10,
43,,,Kampung Daun,Jalan Sersan Bajuri,,,500000,10,
44,,,Kota Mini Lembang,Lembang,,,500000,10,
45,,,Shusi Thei,Jl. Sumatera No.9,,,700000,10,
46,,,The Peak,Jl. Desa Karawangi No. 388A,,,500000,10,
47,,,Jadul Village,Jl. Terusan Sersan Bajuri No.45,,,700000,0,
48,,,Situ Patengan,"Ciwidey, Jawa Barat",,,500000,0,
49,,,Tangkuban Perahu,"Lembang, Jawa Barat",,,500000,0,
50,,,Kebun Teh Lembang,"Lembang, Ciburial",,,,0,
51,,,Morning Glory,Jl. Terusan Sutami No.31,,,500000,0,
52,,,Hotel GH Universal, Jl. DR. Setiabudhi,,,2000000,0,
53,,,Monumen Pancasila,Jl. Raya Pd. Gede,,,,0,
54,,,Southbank Gastrobar,Jl. Sumatera No.5-7,,,500000,0,
